NO,MDC_CODE,MDC_NAME
1,MDCA,先期分组疾病及相关操作
2,MDCB,神经系统疾病及功能障碍
3,MDCC,眼疾病及功能障碍
4,MDCD,头颈、耳、鼻、口、咽疾病及功能障碍
5,MDCE,呼吸系统疾病及功能障碍
6,MDCF,循环系统疾病及功能障碍
7,MDCG,消化系统疾病及功能障碍
8,MDCH,肝、胆、胰疾病及功能障碍
9,MDCI,肌肉、骨骼疾病及功能障碍
10,MDCJ,皮肤、皮下组织及乳腺疾病及功能障碍
11,MDCK,内分泌、营养、代谢疾病及功能障碍
12,MDCL,肾脏及泌尿系统疾病及功能障碍
13,MDCM,男性生殖系统疾病及功能障碍
14,MDCN,女性生殖系统疾病及功能障碍
15,MDCO,妊娠、分娩及产褥期
16,MDCP,新生儿及其他围产期新生儿疾病
17,MDCQ,血液、造血器官及免疫疾病和功能障碍
18,MDCR,骨髓增生疾病和功能障碍，低分化肿瘤
19,MDCS,感染及寄生虫病  (全身性或不明确部位的)
20,MDCT,精神疾病及功能障碍
21,MDCU,酒精/药物使用及其引起的器质性精神功能障碍
22,MDCV,创伤、中毒及药物毒性反应
23,MDCW,烧伤
24,MDCX,影响健康因素及其他就医情况
25,MDCY,HIV 感染疾病及相关操作
26,MDCZ,多发严重创伤
