operationId,operationPid,operationCode,operationName,partnum,codelength,isclinical,isusing,remark,level,initializationState,addUserId,addUserName,addTime,lastUpdateUserId,lastUpdateUserName,lastUpdateTime,applyExplain,operationAttachment,classCode,className,diagnoseCode,diagnoseName,open,isParent,mid,subflag,confirmStatus,children,verCode,verName
044d7011-7979-11e9-9611-8cec4bd010f3,0,1,操作和介入不能分类于他处,1,0,-1,1,,0,,,,,,,,,,,1 操作和介入不能分类于他处,,,false,true,,,,,,
044d73a3-7979-11e9-9611-8cec4bd010f3,0,2,神经系统手术,2,0,-1,1,,0,,,,,,,,,,,2 神经系统手术,,,false,true,,,,,,
044d74e8-7979-11e9-9611-8cec4bd010f3,0,3,内分泌系统手术,3,0,-1,1,,0,,,,,,,,,,,3 内分泌系统手术,,,false,true,,,,,,
044d7599-7979-11e9-9611-8cec4bd010f3,0,4,眼部手术,4,0,-1,1,,0,,,,,,,,,,,4 眼部手术,,,false,true,,,,,,
044d7636-7979-11e9-9611-8cec4bd010f3,0,5,其他各类诊断性和治疗性操作,5,0,-1,1,,0,,,,,,,,,,,5 其他各类诊断性和治疗性操作,,,false,true,,,,,,
044d76d0-7979-11e9-9611-8cec4bd010f3,0,6,耳部手术,6,0,-1,1,,0,,,,,,,,,,,6 耳部手术,,,false,true,,,,,,
044d7769-7979-11e9-9611-8cec4bd010f3,0,7,鼻、口、咽部手术,7,0,-1,1,,0,,,,,,,,,,,7 鼻、口、咽部手术,,,false,true,,,,,,
044d7828-7979-11e9-9611-8cec4bd010f3,0,8,呼吸系统手术,8,0,-1,1,,0,,,,,,,,,,,8 呼吸系统手术,,,false,true,,,,,,
044d78c6-7979-11e9-9611-8cec4bd010f3,0,9,心血管系统手术,9,0,-1,1,,0,,,,,,,,,,,9 心血管系统手术,,,false,true,,,,,,
044d7955-7979-11e9-9611-8cec4bd010f3,0,10,造血和淋巴系统手术,10,0,-1,1,,0,,,,,,,,,,,10 造血和淋巴系统手术,,,false,true,,,,,,
044d79eb-7979-11e9-9611-8cec4bd010f3,0,11,消化系统手术,11,0,-1,1,,0,,,,,,,,,,,11 消化系统手术,,,false,true,,,,,,
044d7aa0-7979-11e9-9611-8cec4bd010f3,0,12,泌尿系统手术,12,0,-1,1,,0,,,,,,,,,,,12 泌尿系统手术,,,false,true,,,,,,
044d7b3d-7979-11e9-9611-8cec4bd010f3,0,13,男性生殖系统手术,13,0,-1,1,,0,,,,,,,,,,,13 男性生殖系统手术,,,false,true,,,,,,
044d7bcf-7979-11e9-9611-8cec4bd010f3,0,14,女性生殖系统手术,14,0,-1,1,,0,,,,,,,,,,,14 女性生殖系统手术,,,false,true,,,,,,
044d7c5f-7979-11e9-9611-8cec4bd010f3,0,15,产科操作,15,0,-1,1,,0,,,,,,,,,,,15 产科操作,,,false,true,,,,,,
044d7cee-7979-11e9-9611-8cec4bd010f3,0,16,肌肉骨骼系统手术,16,0,-1,1,,0,,,,,,,,,,,16 肌肉骨骼系统手术,,,false,true,,,,,,
044d7d81-7979-11e9-9611-8cec4bd010f3,0,17,体被系统手术,17,0,-1,1,,0,,,,,,,,,,,17 体被系统手术,,,false,true,,,,,,
044d7e17-7979-11e9-9611-8cec4bd010f3,0,18,其他诊断性和治疗性操作,18,0,-1,1,,0,,,,,,,,,,,18 其他诊断性和治疗性操作,,,false,true,,,,,,
